GEOID,cluster
020130001001,6
020130001002,1
020130001003,1
020160001001,1
020160002001,5
020160002002,9
020200001011,7
020200001012,4
020200001013,4
020200001021,3
020200001022,9
020200001023,9
020200001024,9
020200002011,4
020200002012,9
020200002021,9
020200002022,4
020200002023,4
020200002024,4
020200002031,4
020200002032,3
020200002033,4
020200002034,4
020200002035,4
020200002041,3
020200002042,4
020200003001,9
020200004001,9
020200005001,9
020200005002,5
020200006001,10
020200006002,5
020200006003,1
020200006004,2
020200006005,5
020200006006,6
020200006007,5
020200006008,5
020200007011,9
020200007012,9
020200007013,5
020200007014,9
020200007021,5
020200007022,9
020200007023,9
020200007031,5
020200007032,5
020200007033,9
020200007034,6
020200007035,9
020200008011,6
020200008012,5
020200008013,6
020200008014,1
020200008015,8
020200008016,6
020200008017,5
020200008021,6
020200008022,5
020200008023,9
020200008024,9
020200008025,5
020200009011,5
020200009012,6
020200009013,5
020200009021,5
020200009022,5
020200009023,9
020200010001,5
020200010002,5
020200010003,5
020200010004,5
020200011001,5
020200011002,5
020200012001,9
020200012002,10
020200012003,3
020200012004,9
020200012005,8
020200013001,3
020200013002,8
020200013003,3
020200014001,5
020200014002,10
020200014003,5
020200014004,9
020200014005,5
020200014006,5
020200015001,8
020200015002,3
020200015003,9
020200015004,8
020200015005,9
020200016011,9
020200016012,8
020200016013,8
020200016021,9
020200016022,3
020200016023,9
020200016024,9
020200017011,8
020200017012,9
020200017013,4
020200017014,9
020200017015,9
020200017021,6
020200017022,8
020200017023,8
020200017024,9
020200017025,8
020200017311,3
020200017312,9
020200017313,6
020200017314,9
020200017315,2
020200017321,8
020200017322,4
020200017323,8
020200017324,4
020200018011,8
020200018012,9
020200018013,9
020200018021,5
020200018022,5
020200018023,5
020200018024,9
020200019001,5
020200019002,5
020200019003,10
020200019004,5
020200019005,9
020200020001,5
020200020002,5
020200020003,1
020200020004,5
020200021001,9
020200021002,1
020200021003,9
020200021004,9
020200021005,9
020200022011,9
020200022012,9
020200022013,9
020200022014,9
020200022021,5
020200022022,5
020200022023,9
020200022024,5
020200023011,3
020200023012,3
020200023013,9
020200023014,3
020200023021,9
020200023022,9
020200023023,9
020200023024,9
020200023025,9
020200023031,9
020200023032,4
020200023033,4
020200023034,9
020200023035,9
020200023036,9
020200024001,1
020200024002,9
020200024003,8
020200025011,4
020200025012,8
020200025013,9
020200025014,9
020200025015,4
020200025021,9
020200025022,9
020200025023,9
020200025024,9
020200026011,9
020200026012,9
020200026013,9
020200026021,4
020200026022,8
020200026023,4
020200026031,9
020200026032,3
020200026033,3
020200027021,4
020200027022,9
020200027023,9
020200027024,3
020200027025,8
020200027111,4
020200027112,3
020200027113,9
020200027114,3
020200027121,4
020200027122,6
020200027123,9
020200027124,9
020200027125,9
020200028111,6
020200028112,9
020200028113,9
020200028114,9
020200028121,4
020200028122,3
020200028123,3
020200028131,3
020200028132,3
020200028133,3
020200028211,3
020200028212,4
020200028213,3
020200028221,4
020200028222,3
020200028223,3
020200028231,3
020200028232,4
020200029001,9
020200029002,9
020200029003,9
020200029004,9
020500001001,6
020500001002,6
020500001003,6
020500001004,6
020500001005,6
020500001006,1
020500002001,9
020500002002,9
020500002003,5
020500002004,1
020500003001,6
020500003002,1
020600001001,1
020680001001,9
020680001002,9
020700001001,1
020700001002,1
020700001003,1
020700002001,9
020700002002,1
020700002003,1
020900001001,5
020900001002,1
020900002001,1
020900002002,1
020900003001,9
020900003002,5
020900003003,5
020900003004,6
020900004001,4
020900004002,1
020900004003,1
020900004004,9
020900005001,9
020900005002,9
020900006001,9
020900006002,9
020900006003,9
020900006004,5
020900007001,9
020900007002,5
020900007003,9
020900008001,9
020900008002,9
020900008003,3
020900008004,4
020900009001,4
020900009002,9
020900010001,9
020900010002,1
020900011001,9
020900012001,4
020900012002,9
020900012003,4
020900013001,5
020900013002,4
020900013003,4
020900013004,3
020900013005,5
020900014001,4
020900014002,8
020900014003,9
020900014004,6
020900014005,9
020900015001,9
020900015002,4
020900015003,4
020900015004,4
020900015005,4
020900015006,9
020900016001,9
020900016002,9
020900016003,9
020900016004,4
020900017001,4
020900017002,7
020900018001,9
020900018002,9
020900019001,7
020900019002,4
